,id,section_id,days,times,locations,enrollment_count
0,2135,262181200,["MWF"],["8am-8:50am"],["Mathematical Sciences 4000A"],74
1,138,262211230,["MWF"],["4pm-4:50pm"],["Mathematical Sciences 4000A"],188
2,874,262074200,["MWF"],["9am-9:50am"],["Mathematical Sciences 4000A"],40
3,3130,262206230,["MWF"],["1pm-1:50pm"],["Mathematical Sciences 4000A"],64
4,3129,262206220,["MWF"],["12pm-12:50pm"],["Mathematical Sciences 4000A"],197
5,2675,186361200,["TR"],["4pm-5:50pm"],["Mathematical Sciences 4000A"],153
6,468,324356200,["TR"],["2pm-3:15pm"],["Mathematical Sciences 4000A"],182
7,3405,262186200,["MWF"],["10am-10:50am"],["Mathematical Sciences 4000A"],204
8,3334,328321200,["TR"],["9:30am-10:45am"],["Mathematical Sciences 4000A"],135
9,2769,328472200,["TR"],["12:30pm-1:45pm"],["Mathematical Sciences 4000A"],197
10,5071,262186210,["MWF"],["11am-11:50am"],["Mathematical Sciences 4000A"],211
11,249,128812200,["TR"],["11am-12:15pm"],["Mathematical Sciences 4000A"],157
12,2494,262221220,["MWF"],["2pm-2:50pm"],["Mathematical Sciences 4000A"],192
13,4472,262186230,["MWF"],["3pm-3:50pm"],["Mathematical Sciences 4000A"],123
